èáà ,ëIéËñº,age,debut_year,tall,weight,pro_year,position,bt,Date,Home Tm,Away Tm,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS,SS,HP2F
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-03-30,Washington Nationals,Atlanta Braves,6,6,0,2,0,0,0,0,0,0,1,0,0,.333,.333,.333,.666,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-01,Washington Nationals,Atlanta Braves,5,5,1,1,0,0,1,1,0,1,0,0,0,.273,.273,.545,.818,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-02,Washington Nationals,Atlanta Braves,4,2,1,0,0,0,0,0,2,1,0,0,0,.231,.333,.462,.795,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-03,St. Louis Cardinals,Atlanta Braves,5,4,2,3,1,0,1,3,1,0,0,1,0,.353,.450,.765,1.215,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-04,St. Louis Cardinals,Atlanta Braves,5,5,1,2,0,0,0,0,0,2,1,0,0,.364,.440,.682,1.122,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-05,St. Louis Cardinals,Atlanta Braves,5,5,2,2,0,0,0,0,0,1,0,0,0,.370,.433,.630,1.063,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-06,Atlanta Braves,San Diego Padres,5,4,1,1,1,0,0,0,1,0,0,0,0,.355,.429,.613,1.042,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-07,Atlanta Braves,San Diego Padres,5,4,2,0,0,0,0,0,1,1,2,0,0,.314,.400,.543,.943,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-08,Atlanta Braves,San Diego Padres,4,4,0,0,0,0,0,0,0,1,0,0,0,.282,.364,.487,.851,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-09,Atlanta Braves,San Diego Padres,4,3,0,2,0,0,0,1,1,0,1,0,0,.310,.396,.500,.896,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-10,Atlanta Braves,Cincinnati Reds,5,5,0,3,0,0,0,0,0,1,0,0,0,.340,.415,.511,.926,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-11,Atlanta Braves,Cincinnati Reds,5,3,0,1,0,0,0,1,2,1,0,0,0,.340,.431,.500,.931,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-12,Atlanta Braves,Cincinnati Reds,4,4,0,3,1,0,0,3,0,1,1,1,0,.370,.452,.537,.989,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-14,Kansas City Royals,Atlanta Braves,5,5,3,3,0,0,1,2,0,1,0,0,0,.390,.463,.593,1.056,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-15,Kansas City Royals,Atlanta Braves,6,4,2,0,0,0,0,0,1,0,0,0,1,.365,.452,.556,1.008,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-16,Kansas City Royals,Atlanta Braves,4,4,1,2,1,0,0,0,0,1,1,0,0,.373,.455,.567,1.022,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-17,San Diego Padres,Atlanta Braves,5,5,1,3,1,0,0,0,0,0,0,0,0,.389,.463,.583,1.046,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-18,San Diego Padres,Atlanta Braves,5,4,1,0,0,0,0,0,1,1,0,0,0,.368,.448,.553,1.001,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-19,San Diego Padres,Atlanta Braves,4,3,0,1,0,0,0,0,1,1,1,0,0,.367,.451,.544,.995,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-21,Atlanta Braves,Houston Astros,5,5,1,2,2,0,0,0,0,1,0,0,0,.369,.448,.560,1.008,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-22,Atlanta Braves,Houston Astros,4,4,0,2,0,0,0,0,0,0,3,0,0,.375,.450,.557,1.007,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-23,Atlanta Braves,Houston Astros,4,3,1,1,1,0,0,0,1,1,1,0,0,.374,.452,.560,1.012,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-24,Atlanta Braves,Miami Marlins,5,4,0,0,0,0,0,0,1,0,0,0,0,.358,.440,.537,.977,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-25,Atlanta Braves,Miami Marlins,4,4,1,2,1,0,0,0,0,1,1,0,0,.364,.442,.545,.987,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-26,Atlanta Braves,Miami Marlins,5,3,1,1,0,0,1,1,2,0,0,0,0,.363,.449,.569,1.018,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-27,Atlanta Braves,Miami Marlins,4,3,0,0,0,0,0,1,1,0,0,0,0,.352,.443,.552,.995,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-04-28,New York Mets,Atlanta Braves,3,3,1,1,0,0,0,1,0,1,0,0,0,.352,.440,.546,.986,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-05-01,New York Mets,Atlanta Braves,5,5,3,3,1,0,1,1,0,0,0,0,0,.363,.446,.584,1.030,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-05-01,New York Mets,Atlanta Braves,1,0,0,0,0,0,0,0,0,0,0,0,1,.363,.450,.584,1.034,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-05-02,Miami Marlins,Atlanta Braves,5,3,0,1,1,0,0,1,1,2,1,0,0,.362,.449,.586,1.035,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-05-03,Miami Marlins,Atlanta Braves,6,5,2,1,0,0,1,3,1,1,0,0,0,.355,.444,.595,1.039,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-05-04,Miami Marlins,Atlanta Braves,4,3,1,1,0,0,0,1,1,1,1,0,0,.355,.445,.589,1.034,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-05-05,Atlanta Braves,Baltimore Orioles,5,4,1,1,0,0,0,0,1,0,0,0,0,.352,.444,.578,1.022,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-05-06,Atlanta Braves,Baltimore Orioles,4,3,0,1,0,0,0,1,1,1,0,0,0,.351,.445,.573,1.018,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-05-07,Atlanta Braves,Baltimore Orioles,5,5,0,0,0,0,0,0,0,0,0,0,0,.338,.431,.551,.982,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-05-09,Atlanta Braves,Boston Red Sox,5,4,3,2,1,0,0,0,1,1,0,0,0,.343,.436,.557,.993,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-05-10,Atlanta Braves,Boston Red Sox,4,4,1,2,0,0,1,1,0,0,0,0,0,.347,.438,.576,1.014,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-05-12,Toronto Blue Jays,Atlanta Braves,4,4,0,1,0,0,0,0,0,0,0,0,0,.345,.434,.568,1.002,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-05-13,Toronto Blue Jays,Atlanta Braves,5,4,0,1,0,0,0,0,1,0,2,0,0,.342,.433,.559,.992,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-05-14,Toronto Blue Jays,Atlanta Braves,5,4,2,2,0,0,1,1,1,0,0,0,0,.346,.437,.577,1.014,28.1,4.29
1,Ronald Acuna Jr.,25, 4/25/2018,182.88,92.988,0,RF,R/R,2023-05-15,Texas Rangers,Atlanta Braves,5,4,1,1,0,0,1,2,1,3,0,0,0,.344,.436,.588,1.024,28.1,4.29
