Rank,Name,Date,Team,OPP,AB,R,H,TB,2B,3B,HR,RBI,BB,IBB,SO,SB,CS,AVG,OBP,SLG,HBP,SAC,SF
1,Bo Bichette,Mar 30,TOR,@ STL,6,2,4,5,1,0,0,1,0,0,1,0,0,0.667,0.667,0.833,0,0,0
1,Bo Bichette,Apr 1,TOR,@ STL,4,0,1,1,0,0,0,0,1,0,0,0,0,0.5,0.545,0.6,0,0,0
1,Bo Bichette,Apr 2,TOR,@ STL,4,0,1,1,0,0,0,0,0,0,0,0,0,0.429,0.467,0.5,0,0,0
1,Bo Bichette,Apr 3,TOR,@ KC,5,1,2,5,0,0,1,1,0,0,1,0,0,0.421,0.45,0.632,0,0,0
1,Bo Bichette,Apr 4,TOR,@ KC,5,1,1,1,0,0,0,0,0,0,1,0,0,0.375,0.4,0.542,0,0,0
1,Bo Bichette,Apr 5,TOR,@ KC,5,0,0,0,0,0,0,0,0,0,2,0,0,0.31,0.333,0.448,0,0,0
1,Bo Bichette,Apr 6,TOR,@ KC,5,1,2,2,0,0,0,1,0,0,1,0,0,0.324,0.343,0.441,0,0,0
1,Bo Bichette,Apr 7,TOR,@ LAA,4,1,2,6,1,0,1,3,0,0,0,0,0,0.342,0.359,0.553,0,0,0
1,Bo Bichette,Apr 8,TOR,@ LAA,4,1,3,6,0,0,1,2,1,0,0,0,1,0.381,0.409,0.643,0,0,0
1,Bo Bichette,Apr 9,TOR,@ LAA,5,2,1,1,0,0,0,0,0,0,1,0,0,0.362,0.4,0.596,1,0,0
1,Bo Bichette,Apr 11,TOR,vs DET,4,1,1,4,0,0,1,1,0,0,0,0,0,0.353,0.389,0.627,0,0,0
1,Bo Bichette,Apr 12,TOR,vs DET,4,0,0,0,0,0,0,0,0,0,0,0,0,0.327,0.362,0.582,0,0,0
1,Bo Bichette,Apr 13,TOR,vs DET,4,0,2,2,0,0,0,0,0,0,0,0,0,0.339,0.371,0.576,0,0,0
1,Bo Bichette,Apr 14,TOR,vs TB,5,1,5,7,2,0,0,1,0,0,0,0,0,0.391,0.418,0.641,0,0,0
1,Bo Bichette,Apr 15,TOR,vs TB,4,0,0,0,0,0,0,1,0,0,0,0,0,0.368,0.394,0.603,0,0,0
1,Bo Bichette,Apr 16,TOR,vs TB,4,0,2,2,0,0,0,0,0,0,0,0,0,0.375,0.4,0.597,0,0,0
1,Bo Bichette,Apr 17,TOR,@ HOU,3,0,1,1,0,0,0,0,0,0,2,0,0,0.373,0.397,0.587,0,0,0
1,Bo Bichette,Apr 18,TOR,@ HOU,3,0,1,1,0,0,0,1,1,0,1,0,1,0.372,0.402,0.577,0,0,0
1,Bo Bichette,Apr 19,TOR,@ HOU,4,0,0,0,0,0,0,0,0,0,2,0,0,0.354,0.384,0.549,0,0,0
1,Bo Bichette,Apr 21,TOR,@ NYY,4,1,1,1,0,0,0,0,1,0,0,0,0,0.349,0.385,0.535,0,0,0
1,Bo Bichette,Apr 22,TOR,@ NYY,4,0,1,2,1,0,0,0,0,0,0,0,0,0.344,0.379,0.533,0,0,0
1,Bo Bichette,Apr 23,TOR,@ NYY,4,1,0,0,0,0,0,0,0,0,2,0,0,0.33,0.364,0.511,0,0,0
1,Bo Bichette,Apr 24,TOR,vs CWS,4,0,1,1,0,0,0,0,1,0,0,0,0,0.327,0.365,0.5,0,0,0
1,Bo Bichette,Apr 25,TOR,vs CWS,4,0,1,1,0,0,0,0,0,0,1,0,0,0.324,0.361,0.49,0,0,0
1,Bo Bichette,Apr 26,TOR,vs CWS,4,2,3,6,0,0,1,3,1,0,1,0,0,0.34,0.381,0.528,0,0,0
1,Bo Bichette,Apr 28,TOR,vs SEA,4,0,0,0,0,0,0,0,0,0,0,0,0,0.327,0.368,0.509,0,0,0
1,Bo Bichette,Apr 29,TOR,vs SEA,4,1,0,0,0,0,0,0,0,0,2,0,0,0.316,0.355,0.491,0,0,0
1,Bo Bichette,Apr 30,TOR,vs SEA,6,2,2,5,0,0,1,3,0,0,1,0,0,0.317,0.354,0.508,0,0,0
1,Bo Bichette,May 1,TOR,@ BOS,5,1,5,8,0,0,1,3,0,0,0,1,0,0.344,0.379,0.552,0,0,0
1,Bo Bichette,May 2,TOR,@ BOS,2,1,0,0,0,0,0,0,2,0,2,0,0,0.339,0.382,0.543,0,0,0
1,Bo Bichette,May 3,TOR,@ BOS,4,0,0,0,0,0,0,0,0,0,1,0,0,0.328,0.371,0.527,0,0,0
1,Bo Bichette,May 4,TOR,@ BOS,5,1,2,3,1,0,0,1,0,0,1,0,0,0.331,0.372,0.529,0,0,0
1,Bo Bichette,May 5,TOR,@ PIT,4,1,1,2,1,0,0,0,0,0,1,0,0,0.329,0.369,0.529,0,0,0
1,Bo Bichette,May 6,TOR,@ PIT,4,1,1,2,1,0,0,0,1,0,0,0,0,0.326,0.37,0.528,0,0,0
1,Bo Bichette,May 7,TOR,@ PIT,5,2,2,2,0,0,0,0,0,0,1,0,0,0.329,0.371,0.523,0,0,0
1,Bo Bichette,May 9,TOR,@ PHI,5,1,2,6,1,0,1,2,0,0,1,0,0,0.331,0.372,0.545,0,0,0
1,Bo Bichette,May 10,TOR,@ PHI,4,0,1,1,0,0,0,0,0,0,0,0,0,0.329,0.369,0.538,0,0,0
1,Bo Bichette,May 12,TOR,vs ATL,4,0,0,0,0,0,0,0,0,0,2,0,0,0.321,0.36,0.525,0,0,0
1,Bo Bichette,May 13,TOR,vs ATL,4,0,2,2,0,0,0,2,0,0,0,0,0,0.325,0.364,0.524,0,0,0
1,Bo Bichette,May 14,TOR,vs ATL,3,0,0,0,0,0,0,0,2,0,1,0,0,0.32,0.365,0.515,0,0,0
1,Bo Bichette,May 15,TOR,vs NYY,4,0,2,2,0,0,0,1,0,0,0,0,0,0.324,0.368,0.514,0,0,0
1,Bo Bichette,May 16,TOR,vs NYY,4,1,1,2,1,0,0,1,1,0,0,0,0,0.322,0.368,0.514,0,0,0
1,Bo Bichette,May 17,TOR,vs NYY,5,0,1,1,0,0,0,0,0,0,1,0,0,0.319,0.364,0.505,0,0,0
1,Bo Bichette,May 18,TOR,vs NYY,4,1,3,6,0,0,1,1,0,0,1,0,0,0.328,0.372,0.527,0,0,0
1,Bo Bichette,May 19,TOR,vs BAL,4,0,0,0,0,0,0,1,0,0,0,0,0,0.321,0.365,0.516,0,0,0
1,Bo Bichette,May 20,TOR,vs BAL,5,0,1,1,0,0,0,0,0,0,3,0,0,0.318,0.361,0.508,0,0,0
1,Bo Bichette,May 21,TOR,vs BAL,5,0,3,3,0,0,0,0,0,0,1,0,1,0.325,0.366,0.51,0,0,0
1,Bo Bichette,May 22,TOR,@ TB,5,0,1,1,0,0,0,0,0,0,0,0,0,0.322,0.362,0.502,0,0,0
1,Bo Bichette,May 23,TOR,@ TB,5,2,3,3,0,0,0,0,0,0,0,0,0,0.329,0.368,0.505,0,0,0
1,Bo Bichette,May 24,TOR,@ TB,4,1,2,3,1,0,0,0,0,0,0,1,0,0.332,0.37,0.509,0,0,0
1,Bo Bichette,May 25,TOR,@ TB,4,0,1,1,0,0,0,1,1,0,0,0,0,0.33,0.371,0.505,0,0,0
1,Bo Bichette,May 26,TOR,@ MIN,4,1,2,5,0,0,1,2,0,0,1,0,0,0.333,0.373,0.518,0,0,0
1,Bo Bichette,May 27,TOR,@ MIN,5,1,3,8,0,1,1,4,0,0,1,0,0,0.339,0.378,0.542,0,0,0
1,Bo Bichette,May 28,TOR,@ MIN,4,0,2,2,0,0,0,0,0,0,0,0,0,0.342,0.38,0.541,0,0,0
1,Bo Bichette,May 30,TOR,vs MIL,5,0,0,0,0,0,0,1,0,0,0,0,0,0.335,0.372,0.53,0,0,0
1,Bo Bichette,May 31,TOR,vs MIL,4,0,1,1,0,0,0,0,0,0,0,0,0,0.333,0.37,0.525,0,0,0
1,Bo Bichette,Jun 1,TOR,vs MIL,4,1,1,4,0,0,1,1,0,0,1,0,0,0.332,0.368,0.533,0,0,0
1,Bo Bichette,Jun 2,TOR,@ NYM,4,0,2,2,0,0,0,0,0,0,0,0,0,0.335,0.37,0.532,0,0,0
1,Bo Bichette,Jun 3,TOR,@ NYM,5,0,2,2,0,0,0,0,0,0,2,0,0,0.336,0.371,0.53,0,0,0
1,Bo Bichette,Jun 4,TOR,@ NYM,5,0,0,0,0,0,0,0,0,0,3,0,0,0.329,0.364,0.519,0,0,0
1,Bo Bichette,Jun 5,TOR,vs HOU,3,0,2,2,0,0,0,1,0,0,0,1,0,0.333,0.367,0.521,0,0,0
1,Bo Bichette,Jun 6,TOR,vs HOU,4,1,1,4,0,0,1,1,0,0,1,0,0,0.332,0.366,0.528,0,0,0
1,Bo Bichette,Jun 7,TOR,vs HOU,4,1,1,4,0,0,1,1,0,0,2,0,0,0.331,0.364,0.535,0,0,0
1,Bo Bichette,Jun 8,TOR,vs HOU,4,1,0,0,0,0,0,0,0,0,1,0,0,0.326,0.359,0.527,0,0,0
