Rank,Name,Date,Team,OPP,AB,R,H,TB,2B,3B,HR,RBI,BB,IBB,SO,SB,CS,AVG,OBP,SLG,HBP,SAC,SF
1,Bo Joseph Bichette,Apr 8,TOR,vs TEX,4,2,2,2,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0
1,Bo Joseph Bichette,Apr 9,TOR,vs TEX,4,2,2,5,0,0,1,1,0,0,0,0,0,0.5,0.5,0.875,0,0,0
1,Bo Joseph Bichette,Apr 10,TOR,vs TEX,5,0,0,0,0,0,0,0,0,0,3,0,0,0.308,0.308,0.538,0,0,0
1,Bo Joseph Bichette,Apr 11,TOR,@ NYY,5,0,0,0,0,0,0,0,0,0,3,0,0,0.222,0.222,0.389,0,0,0
1,Bo Joseph Bichette,Apr 12,TOR,@ NYY,4,0,1,1,0,0,0,0,0,0,1,0,0,0.227,0.227,0.364,0,0,0
1,Bo Joseph Bichette,Apr 13,TOR,@ NYY,5,1,1,2,1,0,0,0,0,0,2,0,0,0.222,0.222,0.37,0,0,0
1,Bo Joseph Bichette,Apr 14,TOR,@ NYY,5,0,1,2,1,0,0,0,0,0,0,0,0,0.219,0.219,0.375,0,0,0
1,Bo Joseph Bichette,Apr 15,TOR,vs OAK,5,0,1,1,0,0,0,0,0,0,1,0,0,0.216,0.216,0.351,0,0,0
1,Bo Joseph Bichette,Apr 16,TOR,vs OAK,4,0,0,0,0,0,0,0,0,0,0,0,0,0.195,0.195,0.317,0,0,0
1,Bo Joseph Bichette,Apr 17,TOR,vs OAK,4,0,2,2,0,0,0,0,0,0,1,0,0,0.222,0.222,0.333,0,0,0
1,Bo Joseph Bichette,Apr 19,TOR,@ BOS,4,0,0,0,0,0,0,0,0,0,0,0,0,0.204,0.204,0.306,0,0,0
1,Bo Joseph Bichette,Apr 20,TOR,@ BOS,5,0,1,1,0,0,0,2,0,0,2,0,0,0.204,0.204,0.296,0,0,0
1,Bo Joseph Bichette,Apr 21,TOR,@ BOS,4,0,2,2,0,0,0,1,0,0,1,1,0,0.224,0.224,0.31,0,0,0
1,Bo Joseph Bichette,Apr 22,TOR,@ HOU,3,0,0,0,0,0,0,0,1,0,2,0,1,0.213,0.226,0.295,0,0,0
1,Bo Joseph Bichette,Apr 23,TOR,@ HOU,3,1,1,1,0,0,0,0,1,0,1,0,0,0.219,0.242,0.297,0,0,0
1,Bo Joseph Bichette,Apr 24,TOR,@ HOU,5,1,1,1,0,0,0,0,0,0,3,0,0,0.217,0.239,0.29,0,0,0
1,Bo Joseph Bichette,Apr 25,TOR,vs BOS,4,1,1,4,0,0,1,4,0,0,1,0,0,0.219,0.24,0.329,0,0,0
1,Bo Joseph Bichette,Apr 26,TOR,vs BOS,4,1,0,0,0,0,0,0,1,0,1,0,0,0.208,0.238,0.312,0,0,0
1,Bo Joseph Bichette,Apr 27,TOR,vs BOS,4,0,1,1,0,0,0,0,0,0,1,1,0,0.21,0.238,0.309,0,0,0
1,Bo Joseph Bichette,Apr 28,TOR,vs BOS,4,0,1,1,0,0,0,0,0,0,1,0,0,0.212,0.239,0.306,0,0,0
1,Bo Joseph Bichette,Apr 29,TOR,vs HOU,5,0,0,0,0,0,0,0,0,0,2,0,0,0.2,0.226,0.289,0,0,0
1,Bo Joseph Bichette,Apr 30,TOR,vs HOU,4,0,2,2,0,0,0,0,0,0,0,1,0,0.213,0.237,0.298,0,0,0
1,Bo Joseph Bichette,May 1,TOR,vs HOU,4,1,1,4,0,0,1,2,0,0,1,0,0,0.214,0.238,0.327,0,0,0
1,Bo Joseph Bichette,May 2,TOR,vs NYY,4,1,2,3,1,0,0,1,0,0,2,0,0,0.225,0.248,0.343,0,0,0
1,Bo Joseph Bichette,May 3,TOR,vs NYY,4,0,2,3,1,0,0,1,0,0,0,0,0,0.236,0.257,0.358,0,0,0
1,Bo Joseph Bichette,May 4,TOR,vs NYY,3,1,1,2,1,0,0,0,1,0,1,0,0,0.239,0.265,0.367,0,0,0
1,Bo Joseph Bichette,May 5,TOR,@ CLE,5,2,3,3,0,0,0,0,0,0,1,0,0,0.254,0.28,0.377,0,0,0
1,Bo Joseph Bichette,May 7,TOR,@ CLE,5,0,0,0,0,0,0,1,0,0,2,0,1,0.244,0.268,0.361,0,0,0
1,Bo Joseph Bichette,May 7,TOR,@ CLE,4,0,1,2,1,0,0,1,0,0,0,0,0,0.244,0.268,0.366,0,0,0
1,Bo Joseph Bichette,May 8,TOR,@ CLE,3,1,0,0,0,0,0,0,1,0,1,0,0,0.238,0.267,0.357,0,0,0
