Rank,Name,Date,Team,OPP,AB,R,H,TB,2B,3B,HR,RBI,BB,IBB,SO,SB,CS,AVG,OBP,SLG,HBP,SAC,SF
1,Derek Jeter,Apr 6,NYY,@ TB,4,0,1,1,0,0,0,0,1,0,0,0,0,0.25,0.4,0.25,0,0,0
1,Derek Jeter,Apr 7,NYY,@ TB,5,0,2,2,0,0,0,0,0,0,1,0,0,0.333,0.4,0.333,0,0,0
1,Derek Jeter,Apr 8,NYY,@ TB,4,0,0,0,0,0,0,0,0,0,0,0,0,0.231,0.286,0.231,0,0,0
1,Derek Jeter,Apr 9,NYY,@ BAL,4,1,4,5,1,0,0,1,0,0,0,0,1,0.412,0.444,0.471,0,1,0
1,Derek Jeter,Apr 10,NYY,@ BAL,6,1,2,5,0,0,1,1,0,0,1,0,0,0.391,0.417,0.565,0,0,0
1,Derek Jeter,Apr 11,NYY,@ BAL,4,1,1,2,1,0,0,1,1,0,0,0,0,0.37,0.414,0.556,0,0,0
1,Derek Jeter,Apr 13,NYY,vs LAA,4,0,1,2,1,0,0,0,0,0,1,0,0,0.355,0.394,0.548,0,0,0
1,Derek Jeter,Apr 14,NYY,vs LAA,5,0,2,2,0,0,0,0,0,0,0,0,0,0.361,0.395,0.528,0,0,0
1,Derek Jeter,Apr 15,NYY,vs LAA,5,2,2,6,1,0,1,3,0,0,0,0,0,0.366,0.395,0.61,0,0,0
1,Derek Jeter,Apr 16,NYY,vs MIN,4,1,2,5,0,0,1,1,0,0,0,0,0,0.378,0.404,0.667,0,0,0
1,Derek Jeter,Apr 17,NYY,vs MIN,4,0,1,1,0,0,0,2,0,0,1,0,0,0.367,0.385,0.633,0,0,1
1,Derek Jeter,Apr 18,NYY,vs MIN,5,2,3,6,0,0,1,1,0,0,0,0,0,0.389,0.404,0.685,0,0,0
1,Derek Jeter,Apr 19,NYY,vs MIN,5,1,1,1,0,0,0,1,0,0,0,0,0,0.373,0.387,0.644,0,0,0
1,Derek Jeter,Apr 20,NYY,@ BOS,5,1,1,1,0,0,0,0,0,0,1,0,0,0.359,0.373,0.609,0,0,0
1,Derek Jeter,Apr 21,NYY,@ BOS,4,2,3,3,0,0,0,1,2,0,0,0,0,0.382,0.411,0.618,0,0,0
