Rank,Name,Date,Team,OPP,AB,R,H,TB,2B,3B,HR,RBI,BB,IBB,SO,SB,CS,AVG,OBP,SLG,HBP,SAC,SF
1,Adrián González,Apr 1,BOS,@ TEX,4,0,2,2,0,0,0,3,0,0,0,1,0,0.5,0.5,0.5,0,0,0
1,Adrián González,Apr 2,BOS,@ TEX,5,2,3,4,1,0,0,0,0,0,0,0,0,0.556,0.556,0.667,0,0,0
1,Adrián González,Apr 3,BOS,@ TEX,4,0,0,0,0,0,0,0,0,0,2,0,0,0.385,0.385,0.462,0,0,0
1,Adrián González,Apr 5,BOS,@ CLE,4,0,0,0,0,0,0,0,0,0,0,0,0,0.294,0.294,0.353,0,0,0
1,Adrián González,Apr 6,BOS,@ CLE,3,1,2,6,1,0,1,2,1,1,1,0,0,0.35,0.381,0.6,0,0,0
1,Adrián González,Apr 7,BOS,@ CLE,3,0,0,0,0,0,0,0,1,0,0,0,0,0.304,0.36,0.522,0,0,0
1,Adrián González,Apr 8,BOS,vs NYY,5,2,2,2,0,0,0,1,0,0,0,0,0,0.321,0.367,0.5,0,0,0
1,Adrián González,Apr 9,BOS,vs NYY,4,0,0,0,0,0,0,0,1,0,0,0,0,0.281,0.343,0.438,0,0,0
1,Adrián González,Apr 10,BOS,vs NYY,3,0,1,1,0,0,0,0,1,0,0,0,0,0.286,0.375,0.429,1,0,0
1,Adrián González,Apr 11,BOS,vs TB,2,0,1,3,0,1,0,1,1,0,0,0,0,0.297,0.395,0.486,0,0,0
1,Adrián González,Apr 12,BOS,vs TB,4,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0.362,0.439,0,0,0
1,Adrián González,Apr 15,BOS,vs TOR,4,1,0,0,0,0,0,0,1,0,1,0,0,0.244,0.346,0.4,0,0,0
1,Adrián González,Apr 16,BOS,vs TOR,3,0,1,1,0,0,0,1,2,0,1,0,0,0.25,0.368,0.396,0,0,0
1,Adrián González,Apr 17,BOS,vs TOR,4,1,2,3,1,0,0,0,0,0,0,0,0,0.269,0.377,0.423,0,0,0
